context,label_score,label,3_label,target
"Table 2 Comparison of detection accuracy (%) among CluSTi, DeepDeSRT [34], and TableNet [23] on ICDAR 2013 dataset",0.0,Neutral,neutral,1
"Due to the absence of released annotations for the test set, we follow previous approaches [20, 35, 46, 47] and evaluate our model on the validation set using TEDS and TEDS-Struct [48] metrics.",0.5,Weak,positive,2
"Existing Theory of Contrastive Learning Besides the empirical success, theoretical foundations, which explain the efficiency of the methods in contrastive learning, are gradually gathering attention [23, 56, 65, 61, 59].",0.0,Neutral,neutral,1
"However, we were unable to obtain reasonable performance, even after exploring a variety of values for post processing thresholds and training hyperparameters (values not specified in [6]).",-2.0,O-NR,negative,0
"On the PubTabNet dataset, our model achieved TEDS-struc. of 97.88% which again improves TableFormer and LGPMA (Qiao et al., 2021) by about 1.1% and other methods by more than 4.87%.",0.5,Weak,positive,2
"We selected the Local and Global Pyramid Mask Alignment (LGPMA) method [37] and the VCGroup method [55],
which came in first and second place respectively in the ICDAR 2021 Competition on Scientific Literature Parsing - Task B Table Recognition [15].",0.5,Weak,positive,2
"Under the new evaluation setting, the result of SPLERGE significantly drops by 10.2% absolutely in F1-score.",-2.0,O-NR,negative,0
"Hsieh et al. (2019) even have convergence guarantees for their method, something rare in deep learning.",0.0,Neutral,neutral,1
"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",-2.0,O-NR,negative,0
"We use four existing recognizers —ocr [26], equation descriptor [19], table recognizer [23], and figure classifier [12] to recognize content from the segmented regions.",0.5,Weak,positive,2
This is consistent with ICDAR-13 image-based table structure recognition dataset generated by Schreiber et al. (2017) [2] where row/column span (hierarchical labels) were also discarded.,0.0,Neutral,neutral,1
"Since LGMPA [13] and CycleCenterNet [11] recover table structure based on heuristic rules after detecting cells, which is infeasible to perform the comparison between them and our method, we do not report them in Tab.",-1.0,P-NR,negative,0
"A combination of heuristics and deep learning methods was also proposed [30] based on splitting the table into sub-cells, and then merging semantically connected",0.0,Neutral,neutral,1
"Category Method F-measure Recall Precision PDF Input Image Input
Proposed Models
Split 86.79 86.64 86.93 Split-PDF 91.63 91.26 92.00 SPLERGE-PDF 90.89 90.44 91.36 SPLERGE-PDF + Heuristics 91.95 91.46 92.45
Split + Heuristics 93.00 92.24 93.78 Split-PDF + Heuristics 95.26 94.64 95.89
Previously Reported Results
Nurminen [3] 94.60 94.09 95.12 TEXUS [4] 82.59 84.23 81.02 Shigarov [5] C1 91.50 91.21 91.80 Shigarov [5] C2 93.64 92.33 94.99 DeepDeSRT [6] 91.44† 87.36† 95.93†
† result not directly comparable due to evaluation on a random subset of 34 tables.",-1.0,P-NR,negative,0
"2) Baselines: We compare our framework with five categories of baselines: feature-based models (SVM), neural text classification models (LSTM+ATT, CNN+GRU, BiGRU+Capsule, Transformer), pre-trained language model (Bert, HurtBert), Graph Neural Network (DepGCN), and multi-task model (SKS) for abusive language detection.",0.5,Weak,positive,2
"Recent years have witnessed great successes in self-supervised learning (SSL) for floating point (FP) networks (Goyal et al., 2021; Tian et al., 2021a; Zbontar et al., 2021; Li et al., 2021a; Cai et al., 2021; Ericsson et al., 2021; Tian et al., 2021b; Ermolov et al., 2021; Tian et al., 2020b; Chen…",0.0,Neutral,neutral,1
"The proposed framework can address also TSR, but implementation details are still under investigation.",-1.0,P-NR,negative,0
"Dynamics for λB: We can write down the dynamics for λB as follows:
λ̇B = λB [ −(1 + σ2) |λB |4α + |λB |2α − η ] Similar as the analysis in (Tian et al., 2021), when η > 14(1+σ2) , we know λ̇B < 0 for any λB > 0 and λB = 0 is a critical point.",0.5,Weak,positive,2
Following ideas presented in Section II-C that have been proven successful for TD [35] and TSR [36] we enrich our graph nodes with positional and textual features.,0.0,Neutral,neutral,1
"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",-2.0,O-NR,negative,0
"This interpretation echos well with the finding that the eigenspace of hweight aligns well with that of correlation matrix (Tian et al., 2021).",0.0,Neutral,neutral,1
"Recent works investigating bias in language models have found issues with inconsistencies between seed words (Antoniak and Mimno, 2021),",0.0,Neutral,neutral,1
"Although we tried to train split network with the same training data we used, we failed to reproduce their results and used the model trained by the authors [32].",-2.0,O-NR,negative,0
"We also compared the performance of CluSTi to DeepDeSRT [34], which is known as the best",0.5,Weak,positive,2
"We seek to replicate the Antoniak and Mimno [1] paper, hereafter referred to as ”the original paper/work”.",1.0,Strong,positive,2
"Notably, the experimental results of Tabby, GraphTSR, DeepDeSRT on the ICDAR2013, SciTSR and SciTSR-COMP dataset come from the study [3], and the results of TableStrucNet and Split+Heur are from study [22].",0.0,Neutral,neutral,1
"Our code is adapted from (Tian et al., 2021) 5, and we follow the same data augmentation process.",1.0,Strong,positive,2
"The predictor acts as a whitening operator preventing collapse [Tian et al., 2021], and momentum network can be applied only to the projector [Pham et al.",0.0,Neutral,neutral,1
"In this scenario, TSR usually deals with tables which are subareas of document images (Zuyev, 1997; Schreiber et al., 2017; Siddiqui et al., 2019a, 2019b; Zheng et al., 2021; Hashmi et al., 2021c), lines of plain-text (Kieninger, 1998; Ng et al., 1999; Hu et al., 2000), or text chunks and rulings…",0.0,Neutral,neutral,1
"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",-2.0,O-NR,negative,0
"(Raja et al., 2020) presented a table structure recognizer named TabStruct-Net that combines cell detection and interaction modules to localize the cells and predicts their row and column associations with other detected cells.",0.0,Neutral,neutral,1
"Therefore, we
6
also use SynthTable proposed in TIES [4].",0.0,Neutral,neutral,1
"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",-2.0,O-NR,negative,0
"In experiment 2a, we replace the self-attention encoder with a graph-attention encoder similar to graph-based TSR models (Qasim, Mahmood, and Shafait 2019; Xue et al. 2021) with an equal amount of parameters with LORE.",0.5,Weak,positive,2
[8] recently reported an F-score of 0.,-2.0,O-NR,negative,0
"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",-2.0,O-NR,negative,0
"As we pointed in Section VI, we cannot be sure that we reproduce results from [17] because the paper contains omissions.",-1.0,P-NR,negative,0
"In order to verify the effectiveness of TSRFormer for more challenging borderless tables, we re-implement another split-and-merge based method SPLERGE [45] and compare our approach with it on serveral datasets.",1.0,Strong,positive,2
[41] used the CNNmodel introduced by Gilani et al.,0.0,Neutral,neutral,1
"Note that LGPMA requires additional
annotation information for training.",-1.0,P-NR,negative,0
"To bypass this problem, the second group of methods [19, 23, 33, 35, 36, 54] detects the bounding boxes of table cells or cell contents directly and uses different methods to group them into rows and columns.",0.0,Neutral,neutral,1
