title,authors,re_article,re_details
[Re] G-Mixup: Graph Data Augmentation for Graph Classification,"Ermin Omeragić, Vuk Đuranović",https://github.com/ReScience/MLRC/blob/main/2022/1/article.pdf,https://openreview.net/forum?id=XxUIomN-ndH
[Re] Exact Feature Distribution Matching for Arbitrary Style Transfer and Domain Generalization,"Mert Erkol, Furkan Kınlı, Barış Özcan, Furkan Kıraç",https://github.com/ReScience/MLRC/blob/main/2022/2/article.pdf,https://openreview.net/forum?id=a5_hbZf0NB&noteId=Rsj9NvSj2Ft
[Re] End-to-end Algorithm Synthesis with Recurrent Networks: Logical Extrapolation Without Overthinking,"Sean McLeish, Long Tran-Thanh",https://github.com/ReScience/MLRC/blob/main/2022/3/article.pdf,https://openreview.net/forum?id=WaZB4pUVTi
[Re] Label-Free Explainability for Unsupervised Models,"Eric Robin Langezaal, Jesse Belleman, Tim Veenboer, Joeri Noorthoek",https://github.com/ReScience/MLRC/blob/main/2022/4/article.pdf,https://openreview.net/forum?id=bBVZ3pY4z8p
[Re] Exploring the Representation of Word Meanings in Context,"Matteo Brivio, Çağrı Çöltekin",https://github.com/ReScience/MLRC/blob/main/2022/5/article.pdf,https://openreview.net/forum?id=Od5dD58libt
[Re] Intriguing Properties of Contrastive Losses,"Luca Marini, Mohamad Nabeel, Alexandre Loiko",https://github.com/ReScience/MLRC/blob/main/2022/6/article.pdf,https://openreview.net/forum?id=gb71irTNN7
[Re] Bandit Theory and Thompson Sampling-guided Directed Evolution for Sequence Optimization,Luka Žontar,https://github.com/ReScience/MLRC/blob/main/2022/7/article.pdf,https://openreview.net/forum?id=NE_x1dpz-Q
[Re] Hypergraph-Induced Semantic Tuplet Loss for Deep Metric Learning,"Jicheng Yuan, Danh Le-Phuoc",https://github.com/ReScience/MLRC/blob/main/2022/8/article.pdf,https://openreview.net/forum?id=JJQbk2hIQ5
[Re] Easy Bayesian Transfer Learning with Informative Priors,"Martin Špendl, Klementina Pirc",https://github.com/ReScience/MLRC/blob/main/2022/9/article.pdf,https://openreview.net/forum?id=JpaQ8GFOVu
[Re] On the Reproducibility of CartoonX,"Elias Dubbeldam, Aniek Eijpe, Jona Ruthardt, Robin Sasse",https://github.com/ReScience/MLRC/blob/main/2022/10/article.pdf,https://openreview.net/forum?id=MK4IQJdLLeo
[Re] Reproducibility Study of “Label-Free Explainability for Unsupervised Models”,"Valentinos Pariza, Avik Pal, Madhura Pawar, Quim Serra Faber",https://github.com/ReScience/MLRC/blob/main/2022/11/article.pdf,https://openreview.net/forum?id=qP34dvJpHd
[Re] FOCUS: Flexible Optimizable Counterfactual Explanations for Tree Ensembles,Kyosuke Morita,https://github.com/ReScience/MLRC/blob/main/2022/12/article.pdf,https://openreview.net/forum?id=n1q-iz83S5&noteId=60kzDmcWau
[Re] Fairness Guarantees under Demographic Shift,"Valentin Leonhard Buchner, Philip Onno Olivier Schutte, Yassin Ben Allal, Hamed Ahadi",https://github.com/ReScience/MLRC/blob/main/2022/13/article.pdf,https://openreview.net/forum?id=xEfg6h1GFmW&noteId=C0AfhPXAYB
[Re] DialSummEval - Evaluation of automatic summarization evaluation metrics,"Patrick Camara, Mojca Kloos, Vasiliki Kyrmanidi, Agnieszka Kluska, Rorick Terlou, Lea Krause",https://github.com/ReScience/MLRC/blob/main/2022/14/article.pdf,https://openreview.net/forum?id=3jaZ5tKRyiT&noteId=AHjI9Jw6frY
