context,label_score,label
"Recently, several losses [18], [24], [25] constructed different graph structures to formulate the",0.0,Neutral
"The subsequent designs consider multiple negatives including N-pair [9], Lifted Structure [37] and Multi-Similarity [36], but are slow convergence [18], [19].",0.0,Neutral
"the mainstream methods [1], [5], [6], [18], [68], we also adopt the conventional setting, where no intersection exists in train and test set split.",0.0,Neutral
"Accordingly, several works [24], [25] based on graph structure construct various losses to capture the relations in the pairs [18].",0.0,Neutral
"The proposed method can be seamlessly implanted into different kinds of deep metric learning models, which are represented here by three works including SCT [5], HDML [6], and HIST [18].",0.5,Weak
The drawbacks of these two types of loss functions were limited to the number of classes [2] and not good at leveraging relations among data points [18].,0.0,Neutral
Please refer to [18] for detailed explanations.,0.0,Neutral
"As aforementioned, triplet loss is a seminar example and classical design in this field [18], which has spawned a lot of elegant works.",0.0,Neutral
"convergence of these loss functions is not good [18], [19].",0.0,Neutral
"3) Graph-Based Loss: Beyond graph modeling, HIST [18] employed hyper-graph to model the multilateral semantic relation between every instance and every class with a hyper-graph induced semantic tuplet loss, defined as:",0.0,Neutral
"For one thing, the pairbased methods [64], [65], [66], [67] can mine rich semantic information from anchor-to-sample relations, but converge slowly due to its high training complexity.",0.0,Neutral
"If two embedding nodes are close, their semantic information usually overlaps, they probably have a semantic connection [25].",0.0,Neutral
HIST [25] constructs a hyper-graph to formulate higher-order relations between samples.,0.0,Neutral
HIST [25] constructs a hypergraph to formulate higher-order relations between samples.,0.0,Neutral
"To further demonstrate the effectiveness of BiasAdv, we evaluated the model robustness to various input corruptions following the protocol [29].",0.5,Weak
"field [48]–[50], a multiview-enhanced knowledge integration module based on HGCN is developed, as shown in Fig.",0.0,Neutral
"Modern image retrieval methods (Lim et al., 2022; Roth et al., 2022; Kim et al., 2022; Ermolov et al., 2022; Patel et al., 2022) can be roughly decomposed into two major components: (1) the encoder (e.",0.0,Neutral
"Modern image retrieval methods (Lim et al., 2022; Roth et al., 2022; Kim et al., 2022; Ermolov et al., 2022; Patel et al., 2022) can be roughly decomposed into two major components: (1) the encoder (e.g., Convolutional Neural Networks (Szegedy et al., 2015; He et al., 2016) or Vision Transformer…",0.0,Neutral
"focusing on the feature fusion [39], [49] within a single domain, we leverage feature-point-based hypergraph to model",0.5,Weak
", multi-modal learning [24], [39], trajectory prediction [81], and deep metric learning [49].",0.0,Neutral
"To improve embedding quality, detaching class-discriminative and classshared features [14, 31, 42], intra-batch feature aggregation [30, 49], ranking surrogates [39], and further regularization terms [19, 23, 45, 66] are utilized.",0.5,Weak
"In Crabbé & van der Schaar (2022), the feature importance for unlabelled data is proposed, using XAI methods at the initial phase of data prepossessing to distinguish features that may play a key role in further ML tasks.",0.0,Neutral
[48] Jonathan Crabbé and Mihaela van der Schaar.,0.0,Neutral
"(2)We also restrict to supervised models, since only early works exist to interpret unsupervised models [48, 49].",0.0,Neutral
"a-b, Multiple methods (the proposed likelihood ratio ranking, integrated gradients [26; 27], and Hotspot [28]) were applied to rank the genes in our simulated dataset by how strongly they were captured by multiGroupVI’s group-specific latent spaces.",0.0,Neutral
"We compared the performance of our likelihood ratio ranking with two other methods designed for interpreting the latent spaces of unsupervised machine learning models: Hotspot [28], a method that ranks genes by spatial autocorrelation when provided a given metric of cell-cell similarity (e.g. the latent space of an autoencoder), and an adaptation of integrated gradients [26] for unsupervised models proposed in Crabbé and van der Schaar [27] applied to multiGroupVI’s group-specific latent spaces.",0.5,Weak
"the latent space of an autoencoder), and an adaptation of integrated gradients [26] for unsupervised models proposed in Crabbé and van der Schaar [27] applied to multiGroupVI’s group-specific latent spaces.",0.5,Weak
[65] Jonathan Crabbé and Mihaela van der Schaar.,0.0,Neutral
"We quantitatively compare these various feature importance scores by computing their Pearson correlation r as in [64, 65].",0.5,Weak
"We do not compare with methods that are not post-hoc, that require exposure to outliers, or are not actionable (most existing XAI methods) to match model monitoring settings.",0.0,Neutral
"To determine trust in model predictions, current works typically use (a) explainability methods (XAI) [11]–[13]; which, though explainable, post-hoc and suitable for providing qualitative insights, require humans to oversee the explanations and are not directly actionable for continuous and automated model monitoring; or (b) uncertainty estimation techniques",0.0,Neutral
"To determine trust in model predictions, current works typically use (a) explainability methods (XAI) [11]–[13]; which, though explainable, post-hoc and suitable for providing qualitative insights, require humans to oversee the explanations and are not directly actionable for continuous and automated model monitoring; or (b) uncertainty estimation techniques [6], [14]–[18]; that are difficult to train or are computationally expensive.",0.0,Neutral
"XAI methods provide complementary, post-hoc explanations to the predictions of black-box models to induce trust.",0.0,Neutral
"To determine trust in model predictions, current works typically use (a) explainability methods (XAI) [11]–[13]; which, though explainable, post-hoc and suitable for providing qualitative insights, require humans to oversee the explanations and are not directly actionable for continuous and automated model monitoring; or (b) uncertainty estimation techniques",0.0,Neutral
