text,label_score,label,target_predict,target_predict_label
"Recently, methods based on more explicit 3D representations and differentiable rendering have become popular [5, 6, 9, 11, 19, 30, 37, 39, 44, 47, 49, 50, 53, 61, 66].",,,0,not_related
"Prior approaches utilize GANs [19, 33, 55] to synthesize data for tasks including classification [2, 8, 43, 72, 75], 3D vision [21, 52, 64, 86], 2D segmentation [44, 74, 87], dense visual alignment [54]; or diffusion models [27, 59] for data augmentation [73] or as synthetic data for few-shot learning [25].",,,0,not_related
σy∗ along with a pre-trained recognition network [35] that is responsible for facial identity regularization.,,,0,not_related
"The pre-trained face embedding model [35], which uses ResNet18 [38] has been leveraged for lossid and lossseg.",,,0,not_related
"Other methods [7, 8, 40, 46] utilized direct 3D representations and generated images with representations of the neural radiance field.",,,0,not_related
"For those methods (including ShadeGAN, LiftedStyleGAN, and Ours) that can generate albedo images, the reference images are replaced with albedo images.",,,0,not_related
"2021], LiftedStyleGAN [Shi et al. 2021], EG3D+Deep Portrait Relighting [Zhou et al.",,,0,not_related
"However, the generated samples of ShadeGAN and LiftedStyleGAN are of lower quality compared to those by ours and 2D methods.",,,0,not_related
", [Pan et al. 2022, 2021; Shi et al. 2021]) which explicitly model the lighting efects through lighting models, our method can be categorized as the implicit representation learned from the dataset.",,,1,related
"We compare our method with ShadeGAN [Pan et al. 2021], LiftedStyleGAN [Shi et al. 2021], EG3D+Deep Portrait Relighting [Zhou et al. 2019], EG3D+StyleFlow [Abdal et al. 2021], and 3DFaceShop [Tang et al. 2022] as alternative 3D-aware methods.",,,1,related
"We also quantitatively compare texture and rendered faces by rendering it on a mesh with other methods, including LiftedGAN [49], DECA [15], and OSTeC [18].",,,1,related
"The corresponding 2D face images are used to perform 3D reconstruction using other methods[15, 18, 49].",,,0,not_related
"Further, StyleGAN has been extended to get novel views from images [27, 28, 44], thus making it possible to get 3D information from it.",,,0,not_related
[33] disentangle and distill the 3D information from StyleGAN2 to 3D-aware face generation.,,,0,not_related
"This differs from baseline methods [6, 7, 31, 36] that use Deng et al.",,,0,not_related
"• Identity consistency (ID): As in [6, 7, 31, 36], we compute ID with the mean Arcface [8] cosine similarity, after rendering a face with two random camera views.",,,1,related
"For depth consistency, following previous work [6, 31, 36], we estimate pseudo ground truth depth from Deng et al.",,,1,related
"Recently, a line of work has explored neural 3D representations by unsupervised training of 3D-aware GANs from in-the-wild unstructured images [7, 8, 11, 17, 37, 44, 45, 48, 61, 62, 67].",,,0,not_related
"[39] proposed a self-supervised framework to convert 2D StyleGANs [21] into 3D generative models, although its generalizability is bounded by its base 2D StyleGAN.",,,0,not_related
"To measure the geometry properties, we followed [5, 41], utilizing a pre-trained 3D face reconstruction model to extract a “pseudo” ground truth depth map from the source image.",,,1,related
"To this end, we use the pre-trained model of Unsup3D [45] since it has been widely applied in unsupervised face reconstruction [50, 30, 35, 49] in recent years.",,,1,related
"We address this concern by analyzing both the FID score and the depth accuracy metric used in [5, 32].",,,1,related
"Previously, some approaches attempt to extract 3D structure from pre-trained 2D-GANs [42, 52].",,,0,not_related
"…implicit neural representations (Mildenhall et al., 2020; Sitzmann et al., 2020) or differentiable neural rendering (Kato et al., 2018) into GANs, recent works (Schwarz et al., 2020; Niemeyer & Geiger, 2021; Chan et al., 2021; Shi et al., 2021) can produce multi-view consistent images.",,,0,not_related
", 2018), Multi-view Identity Consistency (ID) (Shi et al., 2021), Chamfer Distance (CD), and Multi-view Image Warping Errors (WE) (Zhang et al.",,,0,not_related
", 2018) into GANs, recent works (Schwarz et al., 2020; Niemeyer & Geiger, 2021; Chan et al., 2021; Shi et al., 2021) can produce multi-view consistent images.",,,0,not_related
"We evaluate PV3D and baseline models by Frechet Video Distance (FVD) (Unterthiner et al., 2018), Multi-view Identity Consistency (ID) (Shi et al., 2021), Chamfer Distance (CD), and Multi-view Image Warping Errors (WE) (Zhang et al., 2022a;b).",,,1,related
"[69] Yichun Shi, Divyansh Aggarwal, and Anil K Jain.",,,0,not_related
"Earlier works [38, 52, 58] utilize voxel or mesh as the intermediate representation.",,,0,not_related
"Compared to other methods, our approach is fast compared to existing frameworks for training explicitly 3D aware GANs [17, 31, 50] and compared to [44] our method is lightweight and able to perform rotations and edits to face shape without the need for a 3D morphable model.",,,0,not_related
"Several works have investigated incorporating explicit 3D understanding into GANs [17, 31, 50].",,,0,not_related
"This category of studies facilitate the learning of 3D consistency by utilizing one or more kinds of 3D prior knowledge as constraints, such as shape [16, 130, 153], albedo [2, 99], normal [2], and depth [79, 99, 102].",,,0,not_related
"NGP [16] CGF 2021 Chair, Car user controls ✓ ✓ 3D shape, relectance map LiftedGAN [99] CVPR 2021 Face Uncon.",,,0,not_related
"More recently, a few methods [99, 102] are build on top of StyleGAN architectures, either using a pretrained StyleGAN or adapting the vanilla design to their setting.",,,0,not_related
"LiftedGAN [99] (Nov 2020) equips a pre-trained StyleGAN2 generator with ive additional 3D-aware networks, which disentangle the latent space of StyleGAN2 into texture, shape, viewpoint, and lighting.",,,0,not_related
