text,label_score,label,target_predict,target_predict_label
"This quantity is very similar to that given in [Aitchison, 2019], except that it allows for a slightly more general proposal, QMP, which allows for dependencies between the K samples for a single latent variable, z(1) i , .",,,1,related
"Perhaps the most obvious related work is TMC [Aitchison, 2019], which also draws K samples for each of the n latent variables, and considers all K combinations.",,,0,not_related
"We can see that the TMC (orange) [Aitchison, 2019] performs considerably worse than massively parallel VI (red) and IWAE (blue) [Burda et al.",,,1,related
"This problem has been addressed in the IWAE context using TMC [Aitchison, 2019], which draws K samples for each of the n latent variables, and individually reasons about each of the K combinations of samples.",,,0,not_related
"To sample all K copies of the full joint latent space, TMC [Aitchison, 2019] uses an IID distribution over the K samples, z(1) i , .",,,1,related
", z K i , while TMC [Aitchison, 2019] forces these K samples to be IID.",,,0,not_related
"…log 1
L L∑ ℓ=1 pθ(zℓ, x) qϕ(zℓ|x)
] , (2)
which has been extensively used as an objective function (Burda et al., 2015; Sønderby et al., 2016; Aitchison, 2019; Lopez et al., 2020) and, importantly, as a metric for estimating the marginal log-likelihood, log pθ(x), in VAEs (e.g.,…",,,1,related
", 2016; Aitchison, 2019; Lopez et al., 2020) and, importantly, as a metric for estimating the marginal log-likelihood, log pθ(x), in VAEs (e.g., Tomczak and Welling (2018); Bauer and Mnih (2019); Vahdat and Kautz (2020)) and in VI in general (Domke and Sheldon, 2018; Zhang, 2020).",,,0,not_related
"which has been extensively used as an objective function (Burda et al., 2015; Sønderby et al., 2016; Aitchison, 2019; Lopez et al., 2020) and, importantly, as a metric for estimating the marginal log-likelihood, log pθ(x), in VAEs (e.",,,0,not_related
"In the context of variational inference (see, e.g. Blei et al., 2017), it was also noted in Aitchison (2019) that operations akin to sequential importance sampling could be easily written as chaining matrix multiplications, allowing to parallelize these on a GPU, both in the time and particle…",,,0,not_related
", 2017), it was also noted in Aitchison (2019) that operations akin to sequential importance sampling could be easily written as chaining matrix multiplications, allowing to parallelize these on a GPU, both in the time and particle dimensions. The work of Singh et al. (2017) considers blocking strategies for particle Gibbs algorithm, using the Markov property to allow the treatment",,,0,not_related
", 2017), it was also noted in Aitchison (2019) that operations akin to sequential importance sampling could be easily written as chaining matrix multiplications, allowing to parallelize these on a GPU, both in the time and particle dimensions.",,,0,not_related
"Applications of the product-form estimators it builds on can be found peppered throughout the Monte Carlo literature [64, 49, 1, 62, 45], almost always unnamed and specialized to particular contexts.",,,1,related
"With the setting of complete matching, IPF becomes tensor Monte Carlo (TMC) (Aitchison, 2019) for SSMs.",,,1,related
