text,label_score,label,target_predict,target_predict_label
"In [1], the latent distribution qφ(z) is explicitly defined as a mixture of a binary and a continuous distribution (“Spikeand-Slab”).",,,0,not_related
2 depicts the 256 dictionary atoms learned by the VSC (non-convolutional) in [2].,,,0,not_related
"Variational sparse coding (VSC) [1] uses the probabilistic autoencoder model in the context of sparse models (1), based on following equivalences:",,,0,not_related
"In both VSC and VCSC posterior collapse can be avoided, though some parameter tuning was needed for VCSC.",,,0,not_related
"D. Variational Sparse Coding
Variational sparse coding (VSC) [1] uses the probabilistic autoencoder model in the context of sparse models (1), based on following equivalences:
• the sparse vector z is the latent variable z in VAE; • the decoder θ is the dictionary D, which takes as input
the sparse code z and produces the estimate x̂ by multiplication.",,,0,not_related
"Recently, there has been work on creating probabilistic, generative models for sparse coding based on variational autoencoders, known as Variational Sparse Coding [2] (VSC).",,,0,not_related
"The fundamental issue in VSC is the reparameterization method of z, which must produce produce a random sparse vector, sampled from a distribution with learnable parameters.",,,0,not_related
"In this paper, we propose to extend the VSC approach to consider convolutional sparse coding as well.",,,1,related
We adapt the framework of [2] for convolutional dictionaries and compare the results obtained against the reference VSC model.,,,1,related
"VARIATIONAL CONVOLUTIONAL SPARSE CODING
In this paper, we extend the VSC framework introduced in [2] to consider the case of convolutional dictionaries.",,,1,related
"advances in a variational sparse coding [2, 65, 32].",,,0,not_related
"To address these requirements for quick inference and learned coefficient distributions from which one can sample, we build upon advances in variational sparse coding [32, 65, 2].",,,1,related
"We hypothesise that a DirVAE will allow a multimodal latent representation of CXRs to be learned through multi-peak sampling and will encourage latent disentanglement due to the sparse nature of the Dirichlet prior.(6) To evaluate the potential benefits of DirVAE over a conventional VAE with a Gaussian prior (GVAE), we use the CheXpert dataset to tackle a complex multi-label classification problem.",,,1,related
Our model can outperforms both sparse VSC model and dense short-run model in Table 2.,,,1,related
"01) [29], VAE [12], Beta-VAE (β = 4) [9] and short-run inference model [22].",,,0,not_related
