text,label_score,label,target_predict,target_predict_label
"In the works of [8, 20, 27, 36, 38, 46], a table is depicted as a grid of regions.",,,0,not_related
"For instance, region-based methods [8, 20, 36, 38, 46] employ a split model to divide input table images into a grid of regions, and a merge model to combine over-split spanning cells.",,,0,not_related
"TabStructNet [36] combines table element detection and vertex relationship prediction into a single network, providing an end-to-end solution.",,,0,not_related
"[16, 25, 35, 36, 47] represent tables by a group of cells.",,,0,not_related
"Note that, there are fundamental differences between the representation in [8, 20, 36, 38, 46] and ours despite the representation is also termed as ""grid"".",,,0,not_related
"Several studies have proposed detectors for detecting cells or their contents [28,31,30,49].",,,0,not_related
"The source codes of 6 papers were not executable [30, 33, 34, 36, 38, 39].",,,1,related
Raja et al.[34]6 2020 TabStruct Net ECCV SciTSR UNLV X X NR,,,1,related
TabStruct-Net [7] proposed an end-to-end network to detect cells and predict cell relations jointly.,,,0,not_related
"Some recent works [7, 8, 12] have proposed a modified TEDS metric named TEDS-Struct to evaluate table structure recognition accuracy only by ignoring OCR errors.",,,0,not_related
"To bypass this problem, the second group of methods [7, 8, 12, 45, 46] detects the bounding boxes of table cells directly and uses different methods to group them into rows and columns.",,,0,not_related
"Also based on DGCNN, TabStructNet [36] is proposed for end-to-end training cell detection and structure recognition in a joint manner.",,,0,not_related
"With the fast-paced development of digital transformation, Table Structure Recognition (TSR) task, aiming at parsing table structure from a table image into machineinterpretable formats, which are often presented by both table cell physical coordinates [38, 31, 15, 41, 4, 34, 36, 45, 35, 23, 25] and their logical relationships [18, 47].",,,0,not_related
"Similar to [36], we randomly extract 80% of the data for training and others for testing.",,,1,related
"the filed, which can be mainly categorized into boundary extraction-based methods [38, 31, 15, 41, 25] and element relationship-based methods [23, 4, 34, 36] according to the component type leveraged.",,,0,not_related
"The first group are the single component-based methods, which rely on either boundary extraction [15, 25, 31, 38, 41] or element relationship [4, 23, 34, 36].",,,0,not_related
"To date, several pioneers works [18, 47, 38, 15, 41, 4, 34, 36, 45, 35, 23, 25] have achieved significant progress in",,,0,not_related
"In recent years, inspired by the success of deep learning in various tasks, especially object detection and semantic segmentation, many deep learning-based methods (Raja et al., 2020; Schreiber et al., 2017) have been presented to recognize table structures.",,,0,not_related
"Sachin et al. (Raja et al., 2020) presented a table structure recognizer named TabStruct-Net that combines cell detection and interaction modules to localize the cells and predicts their row and column associations with other detected cells.",,,0,not_related
"(Raja et al., 2020) presented a table structure recognizer named TabStruct-Net that combines cell detection and interaction modules to localize the cells and predicts their row and column associations with other detected cells.",,,0,not_related
"(Raja et al., 2020; Schreiber et al., 2017) have been presented to recognize table structures.",,,0,not_related
21 PubTabNet TabStructNet [37] SciTSR 90.,,,1,related
TableStructNet [37] and FLAG-NET [24] both utilized Mask R-CNN [13] network to obtain the region of cells and cell visual features.,,,0,not_related
"To eliminate this assumption, another group of methods [25, 24] proposed to detect the bounding boxes of table cells directly.",,,0,not_related
"Due to the rapid development of deep learning in documents, many deep learning-based TSR approaches [37, 3, 35, 25] have been presented.",,,0,not_related
"Following this work, there are models devoted to improving the relationship classification by using elaborated neural networks and adding multi-modal features (Qasim, Mahmood, and Shafait 2019; Raja, Mondal, and Jawahar 2020, 2022; Liu et al. 2021, 2022).",,,0,not_related
"It should be noted that ICDAR-2013 provides no training data, so we extend it to the partial version for cross validation following previous works (Raja, Mondal, and Jawahar 2020; Liu et al. 2022, 2021).",,,1,related
"Then we compare LORE with models mining the adjacency of cells by relation-based metrics: TabStrNet (Raja, Mondal, and Jawahar 2020), LGPMA (Qiao et al. 2021), TOD (Raja, Mondal, and Jawahar 2022), FLAGNet (Liu et al. 2021) and NCGM (Liu et al. 2022).",,,0,not_related
"We also report the performance of cell spatial location prediction, using the F-1 score under the IoU threshold of 0.5, following recent works (Raja, Mondal, and Jawahar 2020; Xue et al. 2021).",,,1,related
"56 million, while the method in reference [22] uses the Resnet101 [10] network, and the parameter amount reaches 44.",,,1,related
