key_for_all_RS,rs_score,positive,negative,neutral,p_norm,n_norm,ntr_norm,total_contexts_count
RS_001_MLRC_2022_01,0.43,42,6,93,0.2978723404255319,0.0425531914893617,0.6595744680851063,141
RS_002_MLRC_2022_02,1.0,92,9,59,0.575,0.05625,0.36875,160
RS_003_MLRC_2022_03,1.0,9,3,22,0.2647058823529412,0.08823529411764706,0.6470588235294118,34
RS_004_MLRC_2022_04,1.0,5,2,9,0.3125,0.125,0.5625,16
RS_005_MLRC_2022_05,0.75,8,1,1,0.8,0.1,0.1,10
RS_006_MLRC_2022_06,1.0,49,5,172,0.2168141592920354,0.022123893805309734,0.7610619469026548,226
RS_008_MLRC_2022_08,0.6,5,1,15,0.23809523809523808,0.047619047619047616,0.7142857142857143,21
RS_009_MLRC_2022_09,0.4,4,0,7,0.36363636363636365,0.0,0.6363636363636364,11
RS_010_MLRC_2022_10,1.0,0,1,2,0.0,0.3333333333333333,0.6666666666666666,3
RS_012_MLRC_2022_12,1.0,7,2,47,0.125,0.03571428571428571,0.8392857142857143,56
RS_013_MLRC_2022_13,0.5,14,4,19,0.3783783783783784,0.10810810810810811,0.5135135135135135,37
RS_014_MLRC_2022_14,1.0,14,3,1,0.7777777777777778,0.16666666666666666,0.05555555555555555,18
RS_015_MLRC_2022_15,1.0,0,1,12,0.0,0.07692307692307693,0.9230769230769231,13
RS_017_MLRC_2022_17,1.0,1,0,7,0.125,0.0,0.875,8
RS_019_MLRC_2022_19,0.75,5,0,14,0.2631578947368421,0.0,0.7368421052631579,19
RS_020_MLRC_2022_20,0.67,4,8,14,0.15384615384615385,0.3076923076923077,0.5384615384615384,26
RS_021_MLRC_2022_21,1.0,9,6,40,0.16363636363636364,0.10909090909090909,0.7272727272727273,55
RS_022_MLRC_2022_22,0.5,4,0,7,0.36363636363636365,0.0,0.6363636363636364,11
RS_023_MLRC_2022_23,1.0,11,4,6,0.5238095238095238,0.19047619047619047,0.2857142857142857,21
RS_025_MLRC_2022_25,1.0,0,0,5,0.0,0.0,1.0,5
RS_026_MLRC_2022_26,1.0,9,6,40,0.16363636363636364,0.10909090909090909,0.7272727272727273,55
RS_027_MLRC_2022_27,1.0,5,4,41,0.1,0.08,0.82,50
RS_028_MLRC_2022_28,0.83,0,1,12,0.0,0.07692307692307693,0.9230769230769231,13
RS_030_MLRC_2022_30,1.0,0,5,14,0.0,0.2631578947368421,0.7368421052631579,19
RS_031_MLRC_2022_31,0.67,9,5,10,0.375,0.20833333333333334,0.4166666666666667,24
RS_032_MLRC_2022_32,1.0,15,1,36,0.28846153846153844,0.019230769230769232,0.6923076923076923,52
RS_033_MLRC_2022_33,1.0,2,0,7,0.2222222222222222,0.0,0.7777777777777778,9
RS_035_MLRC_2022_35,1.0,1,3,10,0.07142857142857142,0.21428571428571427,0.7142857142857143,14
RS_037_MLRC_2022_37,1.0,1,0,12,0.07692307692307693,0.0,0.9230769230769231,13
RS_039_MLRC_2022_39,0.75,5,4,41,0.1,0.08,0.82,50
RS_040_MLRC_2022_40,1.0,3463,443,3842,0.44695405265875066,0.05717604543107899,0.4958699019101704,7748
RS_041_MLRC_2022_41,1.0,125,19,277,0.29691211401425177,0.04513064133016627,0.6579572446555819,421
RS_042_MLRC_2022_42,1.0,16,2,45,0.25396825396825395,0.031746031746031744,0.7142857142857143,63
RS_043_MLRC_2022_43,0.5,49,7,62,0.4152542372881356,0.059322033898305086,0.5254237288135594,118
RS_044_MLRC_2022_44,1.0,145,12,162,0.45454545454545453,0.03761755485893417,0.5078369905956113,319
RS_045_MLRC_2022_45,1.0,4,1,5,0.4,0.1,0.5,10
RS_047_MLRC_2021_02,1.0,58,4,115,0.327683615819209,0.022598870056497175,0.6497175141242938,177
RS_048_MLRC_2021_03,1.0,37,13,96,0.2534246575342466,0.08904109589041095,0.6575342465753424,146
RS_049_MLRC_2021_04,1.0,171,24,310,0.33861386138613864,0.047524752475247525,0.6138613861386139,505
