key_for_all_RS,rs_score,positive,negative,p_norm,n_norm,total_contexts_count
RS_001_MLRC_2022_01,0.43,31,2,0.9393939393939394,0.06060606060606061,33
RS_002_MLRC_2022_02,1.0,71,6,0.922077922077922,0.07792207792207792,77
RS_003_MLRC_2022_03,1.0,3,2,0.6,0.4,5
RS_004_MLRC_2022_04,1.0,4,2,0.6666666666666666,0.3333333333333333,6
RS_005_MLRC_2022_05,0.75,3,0,1.0,0.0,3
RS_006_MLRC_2022_06,1.0,50,2,0.9615384615384616,0.038461538461538464,52
RS_008_MLRC_2022_08,0.6,3,1,0.75,0.25,4
RS_009_MLRC_2022_09,0.4,1,0,1.0,0.0,1
RS_012_MLRC_2022_12,1.0,9,1,0.9,0.1,10
RS_013_MLRC_2022_13,0.5,8,1,0.8888888888888888,0.1111111111111111,9
RS_014_MLRC_2022_14,1.0,10,5,0.6666666666666666,0.3333333333333333,15
RS_017_MLRC_2022_17,1.0,3,0,1.0,0.0,3
RS_019_MLRC_2022_19,0.75,4,0,1.0,0.0,4
RS_020_MLRC_2022_20,0.67,0,1,0.0,1.0,1
RS_021_MLRC_2022_21,1.0,7,1,0.875,0.125,8
RS_022_MLRC_2022_22,0.5,2,0,1.0,0.0,2
RS_023_MLRC_2022_23,1.0,3,2,0.6,0.4,5
RS_025_MLRC_2022_25,1.0,1,0,1.0,0.0,1
RS_026_MLRC_2022_26,1.0,7,1,0.875,0.125,8
RS_027_MLRC_2022_27,1.0,2,1,0.6666666666666666,0.3333333333333333,3
RS_030_MLRC_2022_30,1.0,0,1,0.0,1.0,1
RS_031_MLRC_2022_31,0.67,4,3,0.5714285714285714,0.42857142857142855,7
RS_032_MLRC_2022_32,1.0,9,0,1.0,0.0,9
RS_033_MLRC_2022_33,1.0,2,0,1.0,0.0,2
RS_037_MLRC_2022_37,1.0,1,0,1.0,0.0,1
RS_039_MLRC_2022_39,0.75,2,1,0.6666666666666666,0.3333333333333333,3
